id,dept,first,last,numratings,overall_rating
1232,Law,Fay,Faraday,4,3
1233,Engineering,Hany,Farag,7,3.9
1234,Social Work,Shift,Farah,0,
1235,Social Work,Shiffo,Farah,3,4
1236,Mathematics,Ilijas,Farah,89,2.7
1237,Biology,Sahar,Farhadi,0,
1238,Business,Moshe,Farjoun,20,1.8
1239,Education,Lisa,Farley,3,4.2
1240,Social Science,Ambreen,Farman,1,3
1241,Chemistry,Jennifer,Farmer,5,3.2
1242,Psychology,Linda,Farmus,0,
1243,Accounting,Elizabeth,Farrell,51,4.1
1244,Accounting,Patricia,Farrell,18,4.3
1245,Information Science,Zandi,Farrokh,1,1
1246,Economics,Zandi,Farrokh,34,2.8
1247,Environmental Studies,Dena,Farsad,0,
1248,Education,Rosabel,Fast,1,4
1249,Psychology,Sayyed,Fatemi,15,2.8
1250,Mathematics,Farzad,Fathi Zadeh,2,4.8
1251,Marketing,Tony,Fattal,10,2.2
1252,Film,Patrick,Faubert,5,4
1253,Business,Paul,Favaro,51,3.3
1254,Environmental Studies,Leesa,Fawcett,15,4.3
1255,Marketing,Joe,Fayt,27,4.1
1256,Kinesiology,Sergiu,Fediuc,4,4.8
1257,Social Science,Georgina,Feldberg,6,4.2
1258,Film,Seth,Feldman,28,3.8
1259,Health,Lisa,Feldstein,10,4.5
1260,Anthropology,Emma,Feltes,0,
1261,Philosophy,Brandon,Fenton,11,3.8
1262,Business,Ian,Fenwick,0,
1263,Psychology,Karen,Fergus,2,3.8
1264,Media Studies,John,Ferguson,7,3.5
1265,Kinesiology,Nicole,Ferguson,11,3.4
1266,Kinesiology,David,Ferguson,16,4
1267,History,Gilberto,Fernandes,3,3
1268,Classical Humanities,Marta,Fern�ndez Corral,1,3
1269,Film,Lynne,Fernie,2,5
1270,Economics,Ida,Ferrara,44,2.9
1271,English,Alex,Ferrone,20,4.8
1272,Finance,Paul,Fettes,10,3.2
1273,Humanities,Martin,Fichman,22,3.4
1274,Education,Emily,Fickel,1,5
1275,Film,Morgan,Fics,1,5
1276,Political Science,Micha,Fiedlschuster,3,4.3
1277,Sociology,Natalie,Field,1,4.5
1278,Chemistry,Scott,Fielder,99,4.5
1279,Languages,Maria,Figueredo,9,5
1280,Psychology,Lisa,Fiksenbaum,217,2.9
1281,English As A Second Language,Alina,Filip,9,3.6
1282,Biology,Alessandro,Fillazola,4,3.7
1283,English,Ray,Fine,0,
1284,Science,Hart,Fischer,16,3.9
1285,Marketing,Eileen,Fischer,4,3.2
1286,Film,Caitlin,Fisher,35,2.9
1287,Film,Jim,Fisher,27,3.8
1288,History,Roger,Fisher,49,3.7
1289,Art History,Jennifer,Fisher,3,2
1290,Languages,Robert,Fisher,19,4.5
1291,Visual Arts,Jennifer,Fisher,17,3
1292,Accounting,Alex,Fisher,50,4.1
1293,Fine Arts,Jennifer,Fisher,4,2.8
1294,Health,Margaret,Fitch,1,1.5
1295,Biology,GORDON,FITCH,0,
1296,Psychology,Skye,Fitzpatrick,10,3.5
1297,Social Science,Yara,Flahat,0,
1298,Education,Peter,Flaherty,19,4.4
1299,Psychology,Jessica,Flake,22,4.4
1300,Health Policy & Management,Erin,Flanagan,0,
1301,English,Bruce,Flattery,18,4.1
1302,Psychology,Stephen,Fleming,45,3.9
1303,Social Science,Thomas,Fleming,27,4.2
1304,Accounting,Jason,Fleming,52,4.2
1305,Kinesiology,Francis,Flint,15,2.5
1306,Social Science,Chen,Flora,0,
1307,Psychology,David,Flora,7,4.9
1308,Economics,Josepa M. Miquel,Florensa,0,
1309,Geography,Steven,Flusty,29,4.3
1310,Political Science,Matthew,Fodor,3,4
1311,Dance,Mary,Fogarty,2,3
1312,History,Joshua,Fogel,25,2
1313,Political Science,Paul,Foley,0,
1314,Business,Tin Yan Brony,Fong,8,5
1315,Languages,Julio,Fonseca,60,3.9
1316,Social Science,Marco,Fonseca,11,2.8
1317,Humanities,Stephen,Ford,49,2.3
1318,Languages,Pilar,Ford,24,2.4
1319,Psychology,Mirrisse,Forough,0,
1320,Finance,Pouyan,Foroughi,30,4.2
1321,Languages,Clive,Forrester,10,4.2
1322,Film,Scott,Forsythe,12,3.4
1323,Sociology,Craig,Fortier,7,4.3
1324,Psychology,Kathleen,Fortune,167,4
1325,Environmental Studies,Jennifer,Foster,7,3.9
1326,Public Policy,Lorne,Foster,45,4.1
1327,Theater,Robert,Fothergill,33,4.2
1328,Chemistry,Rene,Fournier,80,3.2
1329,Business,Susan,Fox,2,1.2
1330,Nursing,Mary,Fox,13,4.8
1331,English,Jane,Fox,1,1
1332,Digital Arts,Nick,Fox-Gieg,2,3
1333,Design,Lyle,Fraiman,3,3.3
1334,Accounting,Joe,Frankovic,22,4
1335,Education,Alicja,Frankowski,0,
1336,History,Mary,Franks,1,5
1337,Marketing,Giuseppe,Franze,0,
1338,Education,Michael,Fraschetti,2,5
1339,Mathematics,Benjamin,Fraser,2,5
1340,Biology,Gail,Fraser,29,3.8
1341,Kinesiology,Jessica,Fraser-Thomas,20,4.9
1342,Social Science,Jon,Frauley,15,3.4
1343,Social Science,Shayna,Frawley,8,2.7
1344,Political Science,Soren,Frederiksen,17,4.6
1345,History,Victoria,Freeman,4,4.3
1346,Women's Studies,Derek,French,0,
1347,Communication Studies,Estee,Fresco,4,4
1348,English,Lee,Frew,28,4.6
1349,Business,Stephen,Friedman,76,2.8
1350,Psychology,Christopher,Friesen,3,4.2
1351,Psychology,Justin,Friesen,11,4
1352,Languages,Maria,Frohlich,19,4.8
1353,Political Science,Bernard/bernie,Frolic,12,3.6
1354,Social Sciences,Bernie,Frolic,0,
1355,Psychology,Ingo,Frund,19,3.2
1356,Mathematics,Yuejiao,Fu,6,4
1357,Computer Science,Wenxiao,Fu,2,1
1358,Social Work,Ryan,Fuentes,2,4
1359,Design,Valerie,Fullard,6,3.2
1360,Health & Physical Education,Deborah,Fullerton,0,
1361,Anthropology,Jillian,Fulton-Melanson,4,4
1362,Economics,Kieran,Furlong,73,3.5
1363,Design,Aviva,Furman,21,2.8
1364,Not Specified,Jack,Furman,15,3.8
1365,Mathematics,Edward,Furman,8,2.4
1366,Accounting,Brian,Gaber,86,2.3
1367,Management,Mel,Gabriel,0,
1368,Design,Sandra,Gabriele,18,1.3
1369,Biology,Micheal,Gadsden,6,1.5
1370,Biology,Mike,Gadsden,23,2.1
1371,Biology,Michael,Gadsden,242,2.3
1372,Business Administration,James,Gaede,32,2
1373,Education,Steven,Gaetz,6,4.2
1374,Kinesiology,William,Gage,8,3.4
1375,Kinesiology,Lucia,Gagliese,31,3.6
1376,History,Alex,Gagne,0,
1377,Marketing,Brenda,Gainer,9,2.9
1378,Business,Laura,Gainer,49,3.3
1379,Business,Brenda,Gainer,0,
1380,Nursing,Gianina,Gaitana,28,1.9
1381,Music,Amy,Gajadhar,2,5
1382,Languages Lit.  Linguistics,Angelica,Galante,12,4.8
1383,Civil Engineering,John,Gales,24,4.2
1384,Social Work,Susan,Gallagher,57,3.8
1385,Psychology,Maxine,Gallander-Wintre,6,3.1
1386,Science,Martin,Galloway,29,4.5
1387,Mathematics,Richard,Ganong,104,2.2
1388,Psychology,Zhipeng,Gao,7,4
1389,Mathematics,Yun,Gao,63,3.6
1390,Mathematics,Xin,Gao,54,3.2
1391,Social Work,William,Gapen,14,4.1
1392,Theatre,Soo,Garay,2,5
1393,Psychology,Noelia,Garbarino,0,
1394,Accounting,Alex,Garber,26,3.8
1395,Computer Science,Archit,Garg,6,3
1396,Information Technology,Soroush,Gargar,3,2.3
1397,Social Science,Shaibu,Gariba,1,4
1398,Theatre,Ian,Garrett,3,3.7
1399,Social Science,Heather,Garrett,95,3
1400,Finance,Elisabeth,Garriga,0,
1401,Mathematics,Melissa,Garro,0,
1402,Social Science,Melissa,Garro,0,
1403,Nursing,Crystal,Garvey,0,
1404,Political Science,Jeremiah,Gaster,3,2.3
1405,Humanities,Cinda,Gault,8,3.5
1406,Mathematics,Miguel,Gaytan,0,
1407,Sociology,Amber,Gazso,52,4.3
1408,Environmental Studies,Mahtot,Gebresselassie,0,
1409,Public Administration,JP,Gedeon,1,5
1410,Nursing,Valini,Geer,19,1.1
1411,History,Sakis,Gekas,14,3.5
1412,Design,David,Gelb,2,3.5
1413,Accounting,Patrice,Gelinas,29,3.5
1414,Psychology,S.,Geller,7,3.9
1415,Psychology,Shari,Geller,2,2.8
1416,Sociology,Wendy,Geniusz,0,
1417,Humanities,Steve,Gennaro,83,3.5
1418,Accounting,Brian,George,0,
1419,Humanities,Neil,George,1,1
1420,Physics,Michael,George,1,3.5
1421,Kinesiology,Tammy,George,13,4.7
1422,Physics,Matthew,George,48,4.9
1423,Business Administration,Dan,Georgescu,3,3.5
1424,Administration,Danny,Georgi,15,2.3
1425,English,Rosita,Georgieva,13,3.7
1426,Social Science,Andreas,Georgiou,13,4
1427,Not Specified,George,Georgopoulos,1,3.5
1428,Economics,George,Georgopoulos,66,3.9
1429,Humanities,Margo,Gewurtz,16,2
1430,French Studies,Henriette,Gezundhajt,6,1.9
1431,Engineering,Ebrahim,Ghafar-Zadeh,36,1.3
1432,Finance,Krikor,Ghanaghounian,50,4
1433,Health Science,Rajabali,Ghandhari,19,2.7
1434,Mathematics,Saeed,Ghasemi,36,4.6
1435,Social Work,Chizuru,Ghelani,4,3.5
1436,Engineering,Babak,Gheynani,47,2
1437,Mathematics,Samaneh,Gholami,4,3.2
1438,Geography,Sutama,Ghosh,15,3.2
1439,Humanities,Timothy,Gianotti,8,3.7
1440,English,Beverley,Giblon,16,2.5
1441,Humanities,Joan,Gibson,6,3.2
1442,Mathematics,Peter,Gibson,36,3.7
1443,Social Work,Margaret Meg,Gibson,5,5
1444,Psychology,Kristina,Gicas,16,2.4
1445,Marketing,Markus,Giesler,52,4.7
1446,Marketing,Markus,Gieslur,20,3.4
1447,Psychology,Nighat,Gilani,3,3.5
1448,Environmental Studies,Liette,Gilbert,6,3.8
1449,Education,Jen,Gilbert,21,4.5
1450,Philosophy,Michael,Gilbert,39,4.5
1451,Humanities,Jaspreet,Gill,14,4.5
1452,Accounting,Pritpal,Gill,9,4.3
1453,Political Science,Stephen,Gill,14,3.1
1454,Fine Arts Cultural Studies,Robert,Gill,70,2.3
1455,Humanities,Robyn,Gillam,44,2.2
1456,Fine Arts Cultural Studies,James,Gillespie,55,1.2
1457,Business,Happy,Gilmour,1,4
1458,Civil Engineering,Kevin,Gingerich,6,2.8
1459,Business,Larry,Ginsberg,23,2.5
1460,History,Jerry,Ginsburg,32,4.5
1461,Health Policy  Management,Liane,Ginsburg,3,2.3
1462,Health,Liane,Ginsburg,14,4.4
1463,Languages,Pietro,Giordan,16,2.9
1464,Psychology,Julie,Girard-Lapointe,6,2.7
1465,Philosophy,Michael,Giudice,42,4.3
1466,Computer Science,Elli,Gkouti,4,4.5
1467,Criminology,Amanda,Glasbeek,34,3.5
1468,History,William,Gleberzon,61,4.8
1469,Kinesiology,Norman,Gledhill,113,3.1
1470,Business,John,Glen,29,2.5
1471,Humanities,Jill,Glessing,9,3.6
1472,Social Science,Chris,Glover,4,2.8
1473,Accounting,Bohdan,Gluch,4,3.5
1474,English,Darren,Gobert,44,4.6
1475,English,Matthew,Godfrey,7,4.4
1476,Computer Science,Parke,Godfrey,24,3.6
1477,Psychology,Vinod,Goel,86,1.5
1478,Social Work,Mary,Goitom,19,2.5
1479,Mathematics,Yildirim,Gokhan,7,3.5
1480,Nursing,Monica,Gola,16,2.1
1481,Mathematics,Eleana,Golais,0,
1482,Anthropology,Gerald,Gold,13,2.6
1483,Psychology,David,Gold,8,3.9
1484,Health,Jennifer,Gold,0,
1485,Humanities,Aviva,Goldberg,23,4.4
1486,Psychology,Gerry,Goldberg,16,2.5
1487,Psychology,Gerald,Goldberg,194,2.9
1488,Psychology,Joel,Goldberg,35,4.2
1489,Psychology,Gerry,Goldbery,18,3.9
1490,Finance,Alan,Goldhar,11,4.7
1491,English,Terry,Goldie,75,2.6
1492,Sociology,Luin,Goldring,12,3.9
1493,English,David,Goldstein,12,3.9
1494,Biology,Dasantila,Golemi-Kotra,7,2.1
1495,Chemistry,Dasantila,Golemi-Kotra,46,2.2
1496,Humanities,Aubie,Golombek,2,3.5
1497,Finance,Jamie,Golombek,5,3.1
1498,Humanities,Stacey,Gomez,3,1.5
1499,Philosophy,Francisco,Gomez-Holtved,88,4.6
1500,Social Science,J,Gonda,9,4.5
1501,Mathematics,Osvaldo,Gonzalez,6,3.8
1502,Political Science,Miguel,Gonzalez,37,4.3
1503,Social Science,Jose,Gonzalez-Perez,0,
1504,Human Resources Management,Jessica,Good,6,3.2
1505,Social Work,Luann,Good Gingrich,14,3.4
1506,Management,Ashlee,Goodfellow,2,3.5
1507,Psychology,Doba,Goodman,67,3.5
1508,Social Science,Mark,Goodman,27,3.2
1509,English,Ila,Goody,46,2.7
1510,Not Specified,Ted,Goosen,2,4.2
1511,Humanities,Ted,Goossen,40,2.8
1512,Civil Engineering,Stephanie,Gora,1,5
1513,Political Science,Todd,Gordon,10,4
1514,Marketing,James,Gordon,1,1
1515,Marketing,Ian,Gordon,28,3.3
1516,Not Specified,Althea,Gordon,16,3.8
1517,Engineering,Marina,Gormaly,13,1
1518,Health,Rachel,Gorman,16,4.5
1519,Management,Shaul,Gorsht,7,4
1520,Political Science,Glenn,Goshulak,68,3.7
1521,Sociology,Kevin,Gosine,2,5
1522,Sociology,Andil,Gosine,57,3.4
1523,Computer Science,Gunnar,Gotshalks,63,2.3
1524,Philosophy,Verena,Gottschling,36,2.4
1525,Design,Arlene,Gould,1,1
1526,Health,Isaac,Gould,24,4.7
1527,Social Science,Jay,Goulding,88,3.3
1528,Business,Nilay,Goyal,0,
1529,Kinesiology,Sherry,Grace,53,4.4
1530,History,Christopher,Grafos,1,5
1531,Accounting,Cameron,Graham,42,4
1532,Human Resources Management,Sadita,Graham,7,3
1533,Psychology,Leeat,Granek,40,2.1
1534,Communication Studies,Marion,Grant,0,
1535,Psychology,Keith L,Grasse,0,
1536,Biochemistry,Charlotte,Gratton,0,
1537,Engineering,Gerd,Grau,11,4.4
1538,History,Natalie,Gravelle,5,3.5
1539,Music,Larry,Graves,16,3.6
1540,Business,Joanne,Gray,52,2.3
1541,Social Science,J. Paul,Grayson,35,1.9
1542,Philosophy,Anna,Greco,3,3.7
1543,Film,Larry,Green,0,
1544,Film,Laurence,Green,39,4.4
1545,Psychology,Christopher,Green,42,3.3
1546,Social Science,Allan,Greenbaum,52,3.8
1547,English,Jordana,Greenblatt,41,1.8
1548,Political Science,C. Ian,Greene,24,4.5
1549,Psychology,Esther,Greenglass,9,3.6
1550,Writing,Thomas,Greenwald,9,3.9
1551,Psychology,Heather,Gregan,3,2.8
1552,English,Adrian,Grek,1,5
1553,Humanities,Elke,Grenzer,2,3.5
1554,Theater,Michael,Greyeyes,3,2.7
1555,Film,John,Greyson,15,3.4
1556,Science Technology & Society,Jason,Grier,1,5
1557,Mathematics,Jorg,Grigull,90,2.2
1558,Sociology,Carmen,Grillo,0,
1559,Business,Loreto,Grimaldi,9,4.5
1560,"Languages, Lit., & Linguistics",Rick,Grimm,5,4.4
1561,Social Science,Molly,Grindley,0,
1562,Economics,Ricardo,Grinspun,33,3.9
1563,Visual Arts,Brian,Grosskurth,45,3.9
1564,Environmental Studies,Velma,Grover,0,
1565,Psychology,John,Grundy,54,4.8
1566,Humanities,Julia,Gruson-Wood,4,5
1567,Computer Science,Jarek,Gryz,60,3.2
1568,Business,Ashay,Gude,0,
1569,Finance,Omrane,Guedhami,0,
1570,Fine Arts,Alberto,Guevara,10,1.9
1571,Not Specified,Crissa,Guglietti,10,2.8
1572,Mathematics,Ileana,Guiasu,47,2.9
1573,Mathematics,Silviu,Guiasu,12,4.7
1574,French Studies,Michel,Guidigbi,0,
1575,Accounting,Nick,Guiffre,2,1.2
1576,Psychology,Joshua,Guilfoyle,2,4.5
1577,Computer Science,Omer,Guinko,37,3.1
1578,Disaster Management,Judyth,Gulden,0,
1579,Human Resources Management,Duygu,Gulseren,8,3.1
1580,Kinesiology,Robert,Gumieniak,5,4.8
1581,Sociology,Ercument,Gundogdu,7,3.8
1582,Mathematics,Qiang (Chris),Guo,7,2.7
1583,Administration,Natalie,Guriel,79,3.7
1584,Anthropology,Shubhra,Gururani,22,2
1585,History,Carlos,Haag,0,
1586,Kinesiology,Tara,Haas,86,2.8
1587,Humanities,Arthur,Haberman,66,4.8
1588,Social Science,Nadia,Habib,158,2.6
1589,Not Specified,Ryan,Hackett,1,4
1590,"Languages, Lit., & Linguistics",Ali,Hadidi,35,3
1591,Social Science,Rabita,Hadj-Moussa,31,1.6
1592,Design,Janin,Hadlaw,20,2.3
1593,Political Science,Laam,Hae,16,4
1594,Environmental Studies,Suhail,Hafiz,3,2
1595,History,Edward,Hagerman,6,3.9
1596,Economics,Shermineh,Haghani,2,3.5
1597,Disaster Management,Alireza,Haghighi,0,
1598,Computer Science,May,Haidar,43,3.4
1599,Political Science,Asad,Haider,3,1.7
1600,English,Maureen,Haig,4,5
1601,Psychology,Reeshma,Haji,5,3.6
1602,Environmental Studies,Nancy Viva Davis,Halifax,11,2.8
1603,Languages,Ronald,Hall,17,4.7
1604,Political Science,Rebecca,Hall,3,3.4
1605,Communication Studies,Tyrone,Hall,3,4.3
1606,Economics,Mauri,Hall,4,5
1607,Physics,Patrick,Hall,38,4.3
1608,Education,Alison,Halsall,1,1
1609,TA,Alison,Halsall,49,3.7
1610,Psychology,Edward,Haltrecht,198,4.6
1611,Kinesiology,Mazen,Hamadeh,9,4.3
1612,Digital Arts,Joe,Hambleton,8,4.4
1613,Sociology,Michel,Hamel,1,5
1614,Business,Imara,Hamid,31,3.8
1615,Not Specified,Imara,Hamid,0,
1616,English,Geoff,Hamilton,14,4.6
1617,Science,Ernst,Hamm,20,3.5
1618,Social Work,Melissa,Hamonic,0,
1619,Fine Arts,David,Han,3,3.7
1620,Mathematics,Qing,Han,1,5
1621,Social Science,Maren,Hancock,0,
1622,English,Denise,Handlarski,5,3.6
1623,Environmental Studies,Femida,Handy,7,4.4
1624,Psychology,Dilys,Haner,2,2.5
1625,Communication Studies,Bob,Hanke,64,2.5
1626,Sociology,Dina,Hansen,0,
1627,Engineering,Ronald,Hanson,10,3.8
1628,Social Science,Barbara,Hanson,31,2
1629,Disaster Management,Rebecca,Hanson,14,3
1630,Information Technology,Rico,Hao,0,
1631,Information Technology,Muhammad,Haq,33,4.9
1632,Languages,Eve,Haque,11,3.1
1633,Health Policy  Management,Lorian,Hardcastle,2,4.5
1634,Social Science,Nena,Hardie,11,4
1635,Psychology,Karen,Hardtke,6,4.3
1636,English As A Second Language,Linda,Hargreaves,2,5
1637,Finance,Panday,Hari,1,2
1638,Psychology,Jinthana,Haritaworn,8,2.6
1639,"Languages, Lit., & Linguistics",Snezhana,Harizanova,5,4.1
1640,Humanities,Philip,Harland,24,3.7
1641,Psychology,Kate,Harper,8,4.8
1642,Psychology,Vanessa,Harrar,0,
1643,Kinesiology,Alana,Harrington,5,4.6
1644,Geography,Amy Lavender,Harris,9,3.6
1645,Chemistry,Geoffrey,Harris,5,2.3
1646,Physics,Deborah,Harris,0,
1647,Engineering,Jeffrey,Harris,10,4.1
1648,Psychology,Laurence,Harris,43,4.5
1649,Human Resources Management,Jennifer,Harrison,10,3.3
1650,Visual Arts,Neil,Harrison,0,
1651,Philosophy,Nathan,Harron,0,
1652,English,Stephanie,Hart,10,5
1653,Psychology,Trevor,Hart,29,4.7
1654,Management,Lorne,Hartman,9,2.3
1655,Film,Laurinda,Hartt-Fournier,3,3
1656,Communication,Alison,Harvey,11,4.4
1657,Law,Armanda,Hasa,0,
1658,Political Science,Nadia,Hasan,0,
1659,Political Science,Sarah,Hasbini,0,
1660,Natural Sciences,Banafsheh,Hashemi Pour,50,2.2
1661,Social Work,Halimo,Hashi,5,4.2
1662,Finance,Akbar,Hashmi,4,5
1663,Mathematics,Michael,Haslam,45,4.2
1664,Engineering,Edris,Hassan,0,
1665,Geography,Mohammed,Hassan,24,2.9
1666,Physics,Carl,Hassanali,4,4.6
1667,Philosophy,Shereen,Hassanein,8,4.6
1668,Chemistry,Donald,Hastie,155,3.4
1669,Marketing,Margaret,Hastings,40,3.1
1670,Philosophy,Jagdish,Hattiangadi,25,3
1671,Kinesiology,Thomas,Hawke,34,4.5
1672,History,Douglas,Hay,11,4.3
1673,Film,Sharon,Hayashi,6,3.6
1674,Business,Bryan,Hayday,8,3.8
1675,Social Work,Willburn,Hayden,1,4.5
1676,Social Work,Wilburn,Hayden,21,4.3
1677,Kinesiology,Lyndsay,Hayhurst,14,4.2
1678,Nursing,Deborah,Haynes,1,2
1679,Health,Deborah,Haynes,11,1.3
1680,Administration,Samique,Haynes,4,4.5
1681,Languages Lit.  Linguistics,Helga,Haynes,5,4.1
1682,Social Science,Matthew,Hayter,1,5
1683,Communication Studies,Mark,Hayward,9,3.8
1684,Humanities,Anindo,Hazra,11,4.6
1685,Information Technology,Jiang,He,1,1
1686,Accounting,Anya,Heath,1,3
1687,Chemistry,Lana,H�bert,1,5
1688,Dance,Syreeta,Hector,9,2.8
1689,Biology,John,Heddle,35,2.9
1690,Mathematics,Jane,Heffernan,20,3.8
1691,Engineering,Jane,Heffernan,0,
1692,Psychology,Marina,Heifetz,6,1.8
1693,Psychology,Walter,Heinrichs,14,3.3
1694,Psychology,Lisa,Held,7,2.6
1695,Film,Gillian,Helfeild,4,3.5
1696,Film,Gillian,Helfield,87,2.2
1697,Creative Writing,Michael,Helm,15,4
1698,Mathematics,Maria,Hempel,2,3
1699,TA,Julia,Hemphill,18,4.8
1700,Chemistry,Michael,Hempstead,147,3
1701,Chemistry,Carolyn,Hempstead,13,2
1702,Business Administration,Barbara,Henders,2,3.5
1703,Political Science,Susan,Henders,21,4.4
1704,History,Stuart,Henderson,7,5
1705,Music,Al,Henderson,9,3.6
1706,Social Science,Niamh,Hennessy,25,3.4
1707,Kinesiology,Denise,Henriques,69,2.8
1708,Economics,Irene,Henriques,35,2.3
1709,Liberal Studies,Sharon,Henry,0,
1710,Social Work,Shamette,Hepburn,10,4.1
1711,Drama Studies,Brian,Hepworth,0,
1712,Psychology,Monique,Herbert,77,4.3
1713,Humanities,Marc,Herman,3,5
1714,Humanities,Camille,Hernandez-Ramdwar,8,4.3
1715,Marketing,Amanda,Herold,28,1.8
1716,History,Craig,Heron,24,3.7
1717,Social Work,Barbara,Heron,14,3.8
1718,Humanities,Michael,Herren,12,5
1719,Physics,Eric,Hessels,16,2.7
1720,Geography,Nina,Hewitt,15,4.4
1721,TA,Rob,Heyen,19,4.7
1722,Communication Studies,Rob,Heynen,35,4.1
1723,Biology,Ngo,Hien,0,
1724,English,Lesley,Higgins,65,3.1
1725,English,Leslie,Higgins,9,2.3
1726,Environmental Studies,Kaz,Higuchi,4,3.2
1727,Psychology,Jennifer,Hilborn,2,5
1728,Chemistry,Ryan,Hili,13,4.9
1729,Social Work,Gus,Hill,4,2.2
1730,Art History,Richard,Hill,3,4.3
1731,Sociology,Janice,Hill,89,2.7
1732,Psychology,Jessica,Hillgrove,0,
1733,Health Policy & Management,Sean,Hillier,59,4.5
1734,Biology,Arthur,Hilliker,41,3.5
1735,English,Megan,Hillman,77,2.6
1736,English,Meagan,Hillman,3,2.8
1737,Political Science,Adam,Hilton,1,5
1738,Social Science,Ali,Hirji,29,5
1739,Anthropology,Zulfikar,Hirji,40,3.7
1740,Philosophy,Rand,Hirmiz,4,4.5
1741,Design,Andrew,Hladkyj,3,4
1742,Finance,Kwok,Ho,0,
1743,Business,Kwok,Ho,37,3.3
1744,Economics,Wai Ming,Ho,29,4.2
1745,Design,Elizabeth Zab,Hobart,4,1.8
1746,Health,Matthias,Hoben,0,
1747,Humanities,Joe,Hodes,4,4.9
1748,Human Resources Management,Dennis,Hodgkinson,21,2.4
1749,Education,Darren,Hoeg,1,5
1750,Computer Science,John,Hofbauer,132,2.9
1751,Business,Randy,Hoffman,35,2.6
1752,Psychology,Kari,Hoffman,2,3.5
1753,Languages,Michol,Hoffman,18,4.1
1754,History,Richard,Hoffmann,29,3.6
1755,Environmental Studies,Christina,Hoicka,6,2.7
1756,Music,John,Holland,2,5
1757,Education,Claire,Holland,5,2
1758,TA,Christina,Hollingshead,8,3.6
1759,Anthropology,Teresa,Holmes,59,4.1
1760,Finance,Cynthia,Holmes,5,1.1
1761,Environmental Studies,Mark,Holmes,0,
1762,Education,Janette,Holmes,4,4.9
1763,Health Science,Paul,Holyoke,2,2.8
1764,Business,Ingo,Holzinger,80,3.4
1765,Music,Charles,Hong,0,
1766,Kinesiology,David,Hood,116,4.3
1767,Health Science,David,Hood,6,2.6
1768,History,Tom,Hooper,6,4.8
1769,History,Thomas,Hooper,14,3.8
1770,Political Science,Khashayar,Hooshiyar,73,3
1771,Computer Science,Ali,Hooshyar,30,4.8
1772,Film,Kathryn,Hope,3,4
1773,English,Elizabeth,Hopkins,29,3.4
1774,Social Science,Madison,Hopper,1,5
1775,Humanities,George,Hopton,0,
1776,Physics,Michael,Horbastch,0,
1777,Physics,Marko,Horbatsch,45,3.7
1778,Geography,Reg,Horne,14,3.1
1779,History,Dan,Horner,6,3.7
1780,Engineering,Richard,Hornsey,17,4.1
1781,TA,Sarah,Hornstein,3,5
1782,Visual Arts,Shelley,Hornstein,13,2.3
1783,Political Science,Asher,Horowitz,41,3.1
1784,Mathematics,Jonah,Horowitz,2,4.8
1785,Information Technology,Matt,Hortin,10,1.3
1786,Film,Eli,Horwatt,3,5
1787,Fine Arts Cultural Studies,Mark David,Hosale,7,3.3
1788,English,Tyler,Hosken,0,
1789,Kinesiology,Nazir,Hossain,13,2.5
1790,Economics,Mokhles,Hossain,24,3
1791,Economics,Mohkles,Hossein,6,1.9
1792,Social Science,Caroline Shenaz,Hossein,44,4.2
1793,Information Technology,Farhad,Hosseinkhani,5,1
1794,Criminology,Jordan,House,2,4.5
1795,Physics,Bruce,Howard,0,
1796,Sociology,Jasmin,Hristov,4,2.5
1797,Political Science,Derrick,Hrynyshyn,0,
1798,Communication Studies,Derek,Hrynyshyn,31,4.5
1799,Accounting,Sylvia,Hsu,26,1.9
1800,Natural Sciences,Priscilla,Hsu,1,5
1801,Earth Science,Baoxin,Hu,5,3.8
1802,Science,Jonathan,Hu,0,
1803,Mathematics,Huaxiong,Huang,1,4
1804,Computer Science,Jimmy,Huang,21,4.3
1805,Business,Rongbing,Huang,52,3.1
1806,Design,Graham,Huber,0,
1807,Theatre,David,Huberd,0,
1808,English,Denise,Hubert,1,4
1809,English,Geoffrey,Huck,10,3.9
1810,Biology,Katalin,Hudak,26,4.4
1811,Visual Arts,Anna,Hudson,13,4.2
1812,Business,Amanda,Hudson,4,1.6
1813,Human Resources Management,Amanda,Hudson,44,3.6
1814,History,Angela,Hug,19,4.3
1815,Gender Studies,Laine,Hughes,1,5
1816,Digital Arts,Dafydd,Hughes,1,5
1817,Kinesiology,Hernan,Humana,126,3.9
1818,Health Science,Hernan,Humana,11,2.5
1819,Marketing,Mariam,Humayun,3,5
1820,History,Bernard,Hung-Kay Luk,0,
1821,Geography,Nadine,Hunt,6,3.8
1822,Political Science,Krista,Hunt,9,3.5
1823,Psychology,Jennifer,Hunter,7,5
1824,Chemistry,Howard,Hunter,4,4.5
1825,Psychology,Peter,Hur,0,
1826,Kinesiology,Jaclyn,Hurley,4,4.8
1827,Education,Marc,Husband,1,5
1828,Philosophy,Brian,Huss,79,4.5
1829,Anthropology,Salman,Hussain,1,1
1830,Business Administration,Sherena,Hussain,7,3.4
1831,Business,Bryan,Husted,2,3
1832,Social Science,John,Hutcheson,21,3.1
1833,Social Science,Gillian,Hutchison,1,4
1834,Mathematics,Renato,Huzak,6,3.9
1835,Administration,Thaddeus,Hwong,104,2.1
